id,color,size,element
0,2,3,4
1,1,2,0
2,3,3,3
3,1,1,3
4,1,1,3
5,1,1,3
6,0,0,0
7,1,2,3
8,1,2,3
9,3,1,3
10,3,2,3
11,2,1,2
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,3,1,3
17,1,2,3
18,3,1,2
19,3,0,0
20,0,0,0
21,2,3,1
22,3,0,3
23,2,1,0
24,2,1,1
25,0,2,3
26,2,1,2
27,1,1,1
28,1,1,1
29,3,1,1
30,1,0,3
31,3,0,2
32,2,0,2
33,3,0,2
34,1,0,2
35,2,1,0
36,1,0,2
37,2,2,2
38,1,3,3
39,1,2,0
40,3,2,3
41,3,2,3
42,1,1,3
43,3,3,3
44,3,3,3
45,2,0,0
46,3,2,2
47,3,2,3
48,3,2,3
49,1,1,1
50,0,1,3
51,0,1,3
52,1,3,3
53,3,1,3
54,3,1,2
55,0,1,2
56,1,1,2
57,1,0,3
58,3,2,2
59,3,3,3
60,0,3,3
61,3,3,3
62,2,2,0
63,2,2,0
64,3,1,2
65,3,3,3
66,3,0,2
67,3,0,3
68,0,0,3
69,1,0,3
70,0,1,0
71,3,3,3
72,1,2,3
73,3,2,0
74,2,3,1
75,3,1,2
76,2,0,1
77,3,1,2
78,3,3,3
79,2,4,3
80,1,0,0
81,3,2,3
82,1,1,1
83,1,1,1
84,0,3,3
85,3,2,2
86,3,3,3
87,0,0,0
88,0,0,0
89,0,1,1
